Designator,Mid X,Mid Y,Rotation,Layer
C1,0,-35.25,0,top
C2,-11,-18,180,top
C3,-14.25,-18,180,top
C4,15.5,-45,0,top
C5,3.5,-31.8,180,top
C7,-3.5,-31.8,180,top
CN1,15.025,-12.025,90,bottom
CN2,-20,-48.5,90,top
D1,0,-79.25,0,top
D2,-7,-10,180,top
D3,24.5,-57,180,top
D7,-24.5,-57,180,top
J1,14,-16.55,180,top
J10,-3.79,-58.2,90,top
J11,3.79,-72.55,270,top
J18,0,-28.3,90,top
J19,0,-21.7,90,top
J2,19.025,-45.175,0,top
J3,0,-60,0,top
J4,-1.27,-28.3,90,top
J5,-1.27,-21.7,90,top
J8,-6.35,-69.75,90,top
J9,6.35,-84.5,270,top
Q1,11.25,-41.5,90,top
R10,-12.5,-80,270,top
R11,12.5,-77,90,top
R12,0,-80.75,180,top
R13,-6.75,-77,90,top
R14,6.75,-80,270,top
R15,-6.75,-80,270,top
R16,6.75,-77,90,top
R17,-7,-11.75,180,top
R18,7.75,-39.75,180,top
R5,15.5,-46.75,0,top
R6,7.75,-41.5,0,top
R7,-12.5,-77,90,top
R8,7.75,-43.25,0,top
R9,12.5,-80,270,top
SW1,0,-10.25,180,top
U1,-9.6505,-41.25,180,top
U2,-12.5,-12.75,-90,top
U3,-3.5,-34.25,-90,top
U4,3.5,-34.25,-90,top
U5,-9.75,-78.5,90,top
U6,9.75,-78.5,270,top
U7,0,-77,0,top
U8,-3.75,-78.5,270,top
U9,3.75,-78.5,90,top
R1,-17.25,-49.5,90,top
R2,-17.25,-46.25,90,top
